,builtin_importance,permutation_importance
macro_treasury_10y,0.07884788,0.0023686030428769047
macd_hist,0.042649668,0.0006051175656984764
macd_signal,0.042949393,0.00020746887966804906
rsi_14,0.0478881,-0.00024204702627939056
price_to_sma50,0.04871659,-0.0002593360995850613
beta_63d,0.044164725,-0.0015387275242046972
volume_ratio,0.042910114,-0.0015733056708160387
return_21d,0.04882595,-0.001763485477178417
sma_20,0.045742586,-0.0017980636237897585
return_5d,0.05235693,-0.0018672199170124415
sma20_to_sma50,0.052877016,-0.0020228215767634783
sma_50,0.044159308,-0.00205739972337482
volatility_21d,0.05173635,-0.002316735822959881
macro_fed_funds_rate,0.07818534,-0.0026106500691562727
volatility_63d,0.04903132,-0.002610650069156284
macd,0.047393333,-0.0028526970954356745
roc_10,0.053868927,-0.0029045643153526868
price_to_sma20,0.049690392,-0.0029218533886583575
macro_vix,0.07800609,-0.007849239280774523
