ticker,AAPL,ABBV,AMZN,BAC,COP,CVX,GOOGL,GS,HD,JNJ,JPM,MCD,MS,MSFT,NVDA,PFE,SLB,TSLA,UNH,XOM
AAPL,1.0,0.298,0.591,0.415,0.289,0.334,0.639,0.466,0.542,0.361,0.413,0.447,0.486,0.735,0.603,0.286,0.267,0.466,0.393,0.291
ABBV,0.298,1.0,0.171,0.338,0.32,0.358,0.285,0.331,0.356,0.451,0.359,0.351,0.336,0.328,0.203,0.422,0.277,0.11,0.429,0.312
AMZN,0.591,0.171,1.0,0.291,0.164,0.175,0.645,0.356,0.421,0.187,0.277,0.266,0.35,0.682,0.578,0.178,0.156,0.421,0.214,0.146
BAC,0.415,0.338,0.291,1.0,0.58,0.621,0.407,0.83,0.5,0.384,0.892,0.478,0.828,0.424,0.33,0.313,0.589,0.278,0.422,0.59
COP,0.289,0.32,0.164,0.58,1.0,0.844,0.299,0.537,0.327,0.259,0.561,0.387,0.556,0.281,0.247,0.226,0.803,0.193,0.347,0.837
CVX,0.334,0.358,0.175,0.621,0.844,1.0,0.327,0.584,0.418,0.357,0.621,0.455,0.612,0.335,0.266,0.277,0.768,0.208,0.433,0.85
GOOGL,0.639,0.285,0.645,0.407,0.299,0.327,1.0,0.448,0.466,0.29,0.404,0.389,0.458,0.737,0.58,0.255,0.277,0.385,0.338,0.269
GS,0.466,0.331,0.356,0.83,0.537,0.584,0.448,1.0,0.545,0.36,0.824,0.478,0.865,0.471,0.403,0.292,0.559,0.325,0.429,0.537
HD,0.542,0.356,0.421,0.5,0.327,0.418,0.466,0.545,1.0,0.396,0.499,0.555,0.545,0.569,0.466,0.314,0.302,0.316,0.442,0.33
JNJ,0.361,0.451,0.187,0.384,0.259,0.357,0.29,0.36,0.396,1.0,0.391,0.424,0.386,0.372,0.154,0.516,0.22,0.078,0.479,0.294
JPM,0.413,0.359,0.277,0.892,0.561,0.621,0.404,0.824,0.499,0.391,1.0,0.501,0.811,0.424,0.336,0.333,0.58,0.269,0.43,0.567
MCD,0.447,0.351,0.266,0.478,0.387,0.455,0.389,0.478,0.555,0.424,0.501,1.0,0.502,0.47,0.316,0.282,0.334,0.264,0.45,0.359
MS,0.486,0.336,0.35,0.828,0.556,0.612,0.458,0.865,0.545,0.386,0.811,0.502,1.0,0.503,0.436,0.317,0.571,0.318,0.443,0.554
MSFT,0.735,0.328,0.682,0.424,0.281,0.335,0.737,0.471,0.569,0.372,0.424,0.47,0.503,1.0,0.671,0.314,0.239,0.432,0.416,0.253
NVDA,0.603,0.203,0.578,0.33,0.247,0.266,0.58,0.403,0.466,0.154,0.336,0.316,0.436,0.671,1.0,0.158,0.235,0.454,0.279,0.202
PFE,0.286,0.422,0.178,0.313,0.226,0.277,0.255,0.292,0.314,0.516,0.333,0.282,0.317,0.314,0.158,1.0,0.189,0.078,0.362,0.249
SLB,0.267,0.277,0.156,0.589,0.803,0.768,0.277,0.559,0.302,0.22,0.58,0.334,0.571,0.239,0.235,0.189,1.0,0.187,0.306,0.783
TSLA,0.466,0.11,0.421,0.278,0.193,0.208,0.385,0.325,0.316,0.078,0.269,0.264,0.318,0.432,0.454,0.078,0.187,1.0,0.173,0.149
UNH,0.393,0.429,0.214,0.422,0.347,0.433,0.338,0.429,0.442,0.479,0.43,0.45,0.443,0.416,0.279,0.362,0.306,0.173,1.0,0.346
XOM,0.291,0.312,0.146,0.59,0.837,0.85,0.269,0.537,0.33,0.294,0.567,0.359,0.554,0.253,0.202,0.249,0.783,0.149,0.346,1.0
