ticker,ann_return_pct,ann_vol_pct,sharpe,sortino,calmar,max_drawdown_pct,beta,alpha_pct,skewness,kurtosis
AAPL,36.53,30.85,1.0222,1.4161,1.1623,-31.43,1.1986,17.94,-0.0104,5.5085
ABBV,19.1,25.18,0.56,0.655,0.5611,-34.04,0.5648,7.69,-1.4583,15.8389
AMZN,23.48,34.14,0.5413,0.7826,0.4182,-56.15,1.097,6.04,0.0649,4.3391
BAC,17.64,33.98,0.372,0.5316,0.3604,-48.95,1.1957,-0.92,0.4463,10.9466
COP,19.39,41.85,0.3438,0.4721,0.2889,-67.11,1.0869,2.06,0.0572,14.7049
CVX,14.27,33.33,0.2782,0.3504,0.2559,-55.77,0.9773,-1.82,-0.2642,23.7811
GOOGL,26.47,31.21,0.6878,0.9514,0.5972,-44.32,1.1422,8.51,-0.0321,4.1335
GS,27.53,31.72,0.7102,1.0013,0.6035,-45.62,1.1487,9.5,0.3599,10.8678
HD,19.88,27.38,0.5436,0.6647,0.5233,-37.99,0.9928,3.62,-1.0103,18.0095
JNJ,6.54,19.15,0.0803,0.1107,0.2389,-27.37,0.4865,-3.98,0.2519,8.2692
JPM,22.31,30.66,0.5647,0.7673,0.5114,-43.63,1.0794,5.07,0.4395,13.9213
MCD,13.12,22.25,0.3651,0.4627,0.3557,-36.9,0.705,0.13,0.3749,35.1442
MS,27.89,33.97,0.674,0.9558,0.5434,-51.33,1.2691,8.5,0.6109,14.2177
MSFT,29.2,29.0,0.8342,1.145,0.7859,-37.15,1.1821,10.79,-0.0425,7.4528
NVDA,75.37,51.89,1.356,2.1341,1.1361,-66.34,1.7904,50.06,0.3563,4.2032
PFE,0.26,26.25,-0.1804,-0.2733,0.0048,-54.82,0.5541,-11.02,0.3015,4.1814
SLB,14.1,46.81,0.1943,0.2666,0.1929,-73.06,1.1722,-4.2,-0.2711,9.1109
TSLA,70.98,64.48,1.0231,1.5146,0.964,-73.63,1.5602,48.28,0.2013,3.5243
UNH,18.05,29.15,0.4478,0.5893,0.5029,-35.9,0.8121,3.84,-0.1111,12.0061
XOM,17.01,32.26,0.3722,0.5395,0.2818,-60.35,0.8384,2.5,0.0596,5.2026
