ticker,hist_var_pct,hist_cvar_pct,param_var_pct,param_cvar_pct,mc_var_pct,mc_cvar_pct,dollar_var_hist,dollar_var_mc
AAPL,2.948,4.372,3.051,3.863,3.071,3.888,1473,1535
ABBV,2.162,3.774,2.533,3.195,2.549,3.216,1080,1274
AMZN,3.21,4.799,3.444,4.343,3.466,4.37,1605,1732
BAC,3.014,4.665,3.451,4.345,3.472,4.372,1507,1735
COP,3.536,5.779,4.26,5.362,4.286,5.395,1767,2143
CVX,2.71,4.612,3.397,4.274,3.418,4.301,1355,1708
GOOGL,2.976,4.494,3.129,3.951,3.149,3.976,1487,1574
GS,2.678,4.317,3.178,4.013,3.198,4.038,1339,1598
HD,2.459,3.99,2.758,3.478,2.775,3.5,1229,1387
JNJ,1.645,2.74,1.959,2.463,1.971,2.478,822,985
JPM,2.75,4.279,3.089,3.896,3.108,3.92,1374,1553
MCD,1.755,3.084,2.253,2.839,2.267,2.857,877,1133
MS,2.989,4.569,3.409,4.303,3.43,4.33,1494,1715
MSFT,2.796,4.091,2.889,3.653,2.908,3.676,1398,1453
NVDA,4.723,6.767,5.078,6.444,5.111,6.485,2361,2555
PFE,2.392,3.613,2.719,3.41,2.735,3.431,1196,1367
SLB,4.279,6.529,4.794,6.026,4.824,6.064,2139,2411
TSLA,6.047,8.869,6.4,8.097,6.441,8.149,3023,3220
UNH,2.536,4.144,2.949,3.716,2.967,3.74,1267,1483
XOM,3.005,4.535,3.275,4.124,3.295,4.149,1502,1647
